wst_oper,unit,geo\time	2010 	2012 	2014 	2016 
DSP_L,PC,AT	12 	9 	12 	9 
DSP_L,PC,BE	7 	3 	3 	4 
DSP_L,PC,BG	69 	85 	82 	70 
DSP_L,PC,CY	53 	63 	65 	67 
DSP_L,PC,CZ	29 	24 	22 	22 
DSP_L,PC,DE	8 s	10 s	11 s	11 s
DSP_L,PC,DK	6 	5 	1 	3 
DSP_L,PC,EE	74 	71 	77 	83 
DSP_L,PC,ES	51 	46 	47 	45 
DSP_L,PC,EU27_2020	27 	27 	25 	24 s
DSP_L,PC,EU28	29 	28 	26 	24 s
DSP_L,PC,FI	17 	11 	17 	12 
DSP_L,PC,FR	26 	25 	23 	21 
DSP_L,PC,HR	51 	63 	51 	45 
DSP_L,PC,HU	54 	55 	46 	46 
DSP_L,PC,IE	50 	41 	24 	31 s
DSP_L,PC,IT	28 s	25 s	21 s	19 s
DSP_L,PC,LT	44 	45 	38 	19 
DSP_L,PC,LU	3 	4 	6 	17 
DSP_L,PC,MT	73 	69 	71 	56 
DSP_L,PC,NL	2 	3 	2 	3 
DSP_L,PC,PL	28 	29 	26 	29 
DSP_L,PC,PT	38 	37 	31 	33 
DSP_L,PC,RO	63 	60 	59 	54 
DSP_L,PC,SE	10 	9 	9 	8 
DSP_L,PC,SI	32 	13 	10 	5 
DSP_L,PC,SK	55 	53 	52 	47 
DSP_L,PC,UK	37 	33 	29 	24 
